DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2025-12-06 12:36:15.715,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
151471,0.2712,0.4879,-35.9838,-0.0104,-0.0064,0.2384,0
151638,0.2722,0.4889,-35.9851,0.0120,0.0079,0.2430,0
151805,0.2718,0.4878,-35.9879,-0.0082,0.0052,0.2265,0
151971,0.2717,0.4893,-35.9902,0.0013,0.0051,0.2310,0
152138,0.2717,0.4890,-35.9921,0.0145,0.0117,0.2355,0
152305,0.2725,0.4878,-35.9935,-0.0028,0.0030,0.2345,0
152471,0.2714,0.4870,-35.9946,-0.0161,-0.0042,0.2470,0
152638,0.2712,0.4868,-35.9945,-0.0139,-0.0029,0.2392,0
152805,0.2705,0.4864,-35.9952,-0.0155,0.0030,0.2426,0
152971,0.2717,0.4866,-35.9978,-0.0156,-0.0039,0.2208,0
153138,0.2717,0.4865,-35.9985,-0.0101,-0.0050,0.2490,0
153305,0.2719,0.4863,-35.9991,0.0011,0.0078,0.2226,0
153471,0.2712,0.4846,-35.9992,-0.0010,0.0087,0.2279,0
153638,0.2714,0.4845,-36.0001,0.0024,0.0080,0.2406,0
153805,0.2715,0.4859,-36.0011,-0.0036,0.0156,0.2250,0
153971,0.2724,0.4850,-36.0028,0.0122,0.0054,0.2443,0
154138,0.2726,0.4858,-36.0037,-0.0013,0.0018,0.2162,0
154305,0.2723,0.4863,-36.0051,-0.0015,0.0026,0.2377,0
154471,0.2720,0.4877,-36.0067,-0.0009,0.0043,0.2251,0
154638,0.2719,0.4864,-36.0083,-0.0160,-0.0010,0.2336,0
154805,0.2712,0.4865,-36.0093,-0.0091,-0.0006,0.2448,0
