DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Complete (Quaternion),StartTime: 2025-12-02 14:33:20.555,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
191819,0.9689,0.0014,-0.0009,0.2475,-0.0083,-0.0005,0.2693
191985,0.9689,0.0014,-0.0009,0.2475,-0.0158,-0.0012,0.2382
192152,0.9689,0.0014,-0.0009,0.2475,0.0062,0.0124,0.2338
192319,0.9689,0.0014,-0.0009,0.2475,-0.0002,0.0032,0.2543
192485,0.9689,0.0014,-0.0009,0.2475,0.0156,0.0005,0.2404
192652,0.9689,0.0014,-0.0009,0.2475,-0.0055,-0.0000,0.2135
192819,0.9689,0.0014,-0.0009,0.2475,-0.0201,0.0038,0.2462
192985,0.9689,0.0014,-0.0009,0.2475,-0.0121,-0.0057,0.2488
193152,0.9689,0.0014,-0.0009,0.2475,-0.0136,0.0025,0.2370
193319,0.9689,0.0014,-0.0009,0.2475,-0.0008,-0.0147,0.2393
193485,0.9689,0.0014,-0.0010,0.2475,0.0027,-0.0017,0.2404
193652,0.9689,0.0014,-0.0010,0.2475,-0.0029,-0.0079,0.2370
193819,0.9689,0.0014,-0.0010,0.2475,-0.0091,0.0124,0.2504
193985,0.9689,0.0014,-0.0010,0.2475,-0.0127,-0.0072,0.2428
194152,0.9689,0.0014,-0.0010,0.2475,-0.0006,-0.0085,0.2193
194319,0.9689,0.0014,-0.0010,0.2475,0.0048,0.0038,0.2473
194485,0.9689,0.0014,-0.0010,0.2475,0.0007,0.0051,0.2407
194652,0.9689,0.0014,-0.0010,0.2475,0.0001,0.0143,0.2456
194819,0.9689,0.0014,-0.0010,0.2475,-0.0021,-0.0039,0.2385
194985,0.9689,0.0014,-0.0010,0.2476,-0.0125,-0.0138,0.2569
195152,0.9689,0.0014,-0.0010,0.2476,0.0004,0.0068,0.2267
195319,0.9689,0.0014,-0.0010,0.2476,0.0007,0.0056,0.2068
195485,0.9689,0.0014,-0.0010,0.2476,0.0179,0.0083,0.2344
195652,0.9689,0.0014,-0.0010,0.2476,-0.0018,0.0008,0.2377
195819,0.9689,0.0014,-0.0010,0.2476,0.0084,-0.0091,0.2322
195985,0.9689,0.0014,-0.0010,0.2476,0.0040,-0.0146,0.2478
196152,0.9689,0.0014,-0.0010,0.2476,-0.0004,-0.0102,0.2383
196319,0.9689,0.0014,-0.0010,0.2476,-0.0038,-0.0038,0.2341
196485,0.9689,0.0014,-0.0010,0.2476,0.0049,-0.0094,0.2399
196652,0.9689,0.0014,-0.0010,0.2476,-0.0067,0.0060,0.2193
196819,0.9689,0.0014,-0.0010,0.2476,0.0012,-0.0040,0.2357
196985,0.9689,0.0014,-0.0010,0.2476,-0.0065,-0.0042,0.2469
197152,0.9689,0.0014,-0.0010,0.2476,-0.0031,-0.0057,0.2441
197319,0.9689,0.0014,-0.0010,0.2476,0.0037,-0.0050,0.2403
197485,0.9689,0.0014,-0.0010,0.2476,0.0006,-0.0051,0.2326
197652,0.9689,0.0014,-0.0010,0.2476,-0.0048,0.0034,0.2318
197819,0.9689,0.0014,-0.0010,0.2476,0.0012,0.0082,0.2289
197985,0.9689,0.0014,-0.0010,0.2476,0.0106,-0.0027,0.2532
198152,0.9689,0.0014,-0.0010,0.2476,-0.0075,-0.0039,0.2483
198319,0.9688,0.0016,-0.0008,0.2477,-0.0074,-0.0130,0.2536
198485,0.9688,0.0016,-0.0008,0.2477,0.0016,-0.0136,0.2479
198652,0.9688,0.0016,-0.0008,0.2477,-0.0005,-0.0116,0.2559
198819,0.9688,0.0016,-0.0008,0.2477,-0.0069,-0.0196,0.2327
198985,0.9688,0.0016,-0.0008,0.2477,0.0012,-0.0192,0.2269
199152,0.9688,0.0016,-0.0008,0.2477,-0.0044,-0.0120,0.2351
199319,0.9688,0.0016,-0.0008,0.2477,-0.0007,-0.0060,0.2423
199485,0.9688,0.0016,-0.0008,0.2477,-0.0021,-0.0070,0.2336
199652,0.9688,0.0016,-0.0008,0.2477,0.0142,-0.0103,0.2345
199819,0.9688,0.0016,-0.0008,0.2477,0.0011,0.0151,0.2345
199985,0.9688,0.0016,-0.0008,0.2477,0.0057,-0.0003,0.2362
200152,0.9688,0.0016,-0.0008,0.2477,0.0040,-0.0116,0.2735
