DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Orientation (Quaternion),StartTime: 2025-12-02 14:16:29.728,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
6661546,0.8950,0.0004,-0.0016,-0.4461
6661713,0.8950,0.0004,-0.0016,-0.4461
6661880,0.8950,0.0004,-0.0016,-0.4461
6662046,0.8950,0.0004,-0.0016,-0.4461
6662213,0.8950,0.0004,-0.0016,-0.4461
6662380,0.8950,0.0004,-0.0016,-0.4461
6662546,0.8950,0.0004,-0.0016,-0.4461
6662713,0.8950,0.0004,-0.0016,-0.4461
6662880,0.8950,0.0004,-0.0016,-0.4461
6663046,0.8950,0.0004,-0.0016,-0.4461
6663213,0.8950,0.0004,-0.0015,-0.4461
6663380,0.8950,0.0004,-0.0015,-0.4461
6663546,0.8950,0.0004,-0.0015,-0.4461
6663713,1.0000,0.0011,-0.0012,0.0000
6663880,1.0000,0.0010,-0.0012,-0.0000
6664046,1.0000,0.0010,-0.0012,-0.0000
6664213,1.0000,0.0011,-0.0012,-0.0000
6664380,1.0000,0.0011,-0.0012,-0.0000
6664546,1.0000,0.0011,-0.0012,-0.0000
6664713,1.0000,0.0011,-0.0012,-0.0000
6664880,1.0000,0.0011,-0.0012,-0.0000
6665046,1.0000,0.0011,-0.0012,-0.0000
6665213,1.0000,0.0011,-0.0012,-0.0000
6665380,1.0000,0.0010,-0.0012,-0.0000
6665546,1.0000,0.0010,-0.0012,-0.0000
6665713,1.0000,0.0010,-0.0012,-0.0001
6665880,1.0000,0.0010,-0.0012,-0.0000
6666046,1.0000,0.0010,-0.0012,-0.0000
6666213,1.0000,0.0010,-0.0012,-0.0001
6666380,1.0000,0.0010,-0.0012,-0.0001
6666546,1.0000,0.0010,-0.0012,-0.0001
6666713,1.0000,0.0010,-0.0012,-0.0001
6666880,1.0000,0.0011,-0.0011,-0.0001
6667046,1.0000,0.0010,-0.0011,-0.0001
6667213,1.0000,0.0010,-0.0011,-0.0001
6667380,1.0000,0.0010,-0.0011,-0.0001
6667546,1.0000,0.0010,-0.0011,-0.0001
6667713,1.0000,0.0010,-0.0011,-0.0001
6667880,1.0000,0.0010,-0.0011,-0.0001
6668046,1.0000,0.0010,-0.0011,-0.0001
6668213,1.0000,0.0010,-0.0011,-0.0001
6668380,1.0000,0.0010,-0.0011,-0.0001
6668546,1.0000,0.0010,-0.0011,-0.0001
6668713,1.0000,0.0010,-0.0011,-0.0001
6668880,1.0000,0.0010,-0.0011,-0.0001
6669046,1.0000,0.0010,-0.0011,-0.0001
6669213,1.0000,0.0010,-0.0011,-0.0001
6669380,1.0000,0.0010,-0.0011,-0.0001
6669546,1.0000,0.0010,-0.0011,-0.0001
6669713,1.0000,0.0010,-0.0011,-0.0001
6669880,1.0000,0.0010,-0.0011,-0.0001
6670046,1.0000,0.0010,-0.0011,-0.0001
6670213,1.0000,0.0010,-0.0011,-0.0001
6670380,1.0000,0.0010,-0.0011,-0.0001
6670546,1.0000,0.0010,-0.0011,-0.0001
6670713,1.0000,0.0010,-0.0011,-0.0001
6670880,1.0000,0.0010,-0.0011,-0.0001
6671046,1.0000,0.0010,-0.0011,-0.0001
6671213,1.0000,0.0010,-0.0011,-0.0001
6671380,1.0000,0.0010,-0.0011,-0.0001
6671546,1.0000,0.0010,-0.0011,-0.0002
6671713,1.0000,0.0010,-0.0011,-0.0002
6671880,1.0000,0.0010,-0.0011,-0.0001
6672046,1.0000,0.0010,-0.0010,-0.0002
6672213,1.0000,0.0010,-0.0010,-0.0002
6672380,1.0000,0.0010,-0.0010,-0.0002
6672546,1.0000,0.0010,-0.0010,-0.0002
6672713,1.0000,0.0010,-0.0010,-0.0002
6672880,1.0000,0.0010,-0.0010,-0.0002
6673046,1.0000,0.0010,-0.0010,-0.0002
6673213,1.0000,0.0010,-0.0010,-0.0002
6673380,1.0000,0.0010,-0.0012,-0.0003
6673546,1.0000,0.0010,-0.0011,-0.0003
6673713,1.0000,0.0010,-0.0011,-0.0003
6673880,1.0000,0.0010,-0.0011,-0.0003
6674046,1.0000,0.0010,-0.0011,-0.0003
6674213,1.0000,0.0010,-0.0011,-0.0003
6674380,1.0000,0.0010,-0.0011,-0.0003
6674546,1.0000,0.0010,-0.0011,-0.0003
6674713,1.0000,0.0010,-0.0011,-0.0003
6674880,1.0000,0.0010,-0.0011,-0.0003
6675046,1.0000,0.0010,-0.0011,-0.0003
6675213,1.0000,0.0010,-0.0011,-0.0003
6675380,1.0000,0.0010,-0.0011,-0.0003
6675546,1.0000,0.0010,-0.0011,-0.0003
6675713,1.0000,0.0010,-0.0011,-0.0003
6675880,1.0000,0.0010,-0.0011,-0.0004
6676047,1.0000,0.0010,-0.0011,-0.0004
6676213,1.0000,0.0010,-0.0011,-0.0003
6676380,1.0000,0.0010,-0.0011,-0.0003
6676547,1.0000,0.0010,-0.0011,-0.0003
6676713,1.0000,0.0010,-0.0011,-0.0003
6676880,1.0000,0.0010,-0.0011,-0.0003
6677047,1.0000,0.0010,-0.0011,-0.0003
6677213,1.0000,0.0010,-0.0011,-0.0003
6677380,1.0000,0.0010,-0.0011,-0.0004
6677547,1.0000,0.0010,-0.0011,-0.0003
6677713,1.0000,0.0010,-0.0011,-0.0003
6677880,1.0000,0.0010,-0.0011,-0.0003
6678047,1.0000,0.0010,-0.0011,-0.0004
6678213,1.0000,0.0010,-0.0011,-0.0004
6678380,1.0000,0.0010,-0.0011,-0.0004
6678547,1.0000,0.0010,-0.0011,-0.0004
6678713,1.0000,0.0010,-0.0011,-0.0004
6678880,1.0000,0.0010,-0.0011,-0.0004
6679047,1.0000,0.0010,-0.0011,-0.0004
6679213,1.0000,0.0010,-0.0011,-0.0004
6679380,1.0000,0.0010,-0.0011,-0.0004
6679547,1.0000,0.0010,-0.0011,-0.0004
6679713,1.0000,0.0010,-0.0011,-0.0004
6679880,1.0000,0.0010,-0.0011,-0.0004
6680047,1.0000,0.0010,-0.0011,-0.0004
6680213,1.0000,0.0010,-0.0011,-0.0004
6680380,1.0000,0.0010,-0.0011,-0.0004
6680547,1.0000,0.0010,-0.0011,-0.0004
6680713,1.0000,0.0010,-0.0011,-0.0004
6680880,1.0000,0.0010,-0.0011,-0.0004
6681047,1.0000,0.0010,-0.0011,-0.0004
6681213,1.0000,0.0010,-0.0011,-0.0004
6681380,1.0000,0.0010,-0.0011,-0.0004
6681547,1.0000,0.0010,-0.0011,-0.0004
6681713,1.0000,0.0010,-0.0011,-0.0004
6681880,1.0000,0.0010,-0.0011,-0.0004
6682047,1.0000,0.0010,-0.0011,-0.0004
6682213,1.0000,0.0010,-0.0011,-0.0004
6682380,1.0000,0.0010,-0.0011,-0.0004
6682547,1.0000,0.0010,-0.0011,-0.0004
6682713,1.0000,0.0010,-0.0011,-0.0004
6682880,1.0000,0.0010,-0.0011,-0.0004
6683047,1.0000,0.0010,-0.0011,-0.0004
6683213,1.0000,0.0010,-0.0011,-0.0004
6683380,1.0000,0.0010,-0.0011,-0.0005
6683547,1.0000,0.0010,-0.0011,-0.0005
6683713,1.0000,0.0010,-0.0011,-0.0005
6683880,1.0000,0.0010,-0.0011,-0.0005
6684047,1.0000,0.0010,-0.0011,-0.0005
6684213,1.0000,0.0010,-0.0011,-0.0005
6684380,1.0000,0.0010,-0.0011,-0.0005
6684547,1.0000,0.0010,-0.0011,-0.0005
6684713,1.0000,0.0010,-0.0011,-0.0005
6684880,1.0000,0.0010,-0.0011,-0.0005
