DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 4,StartTime: 2025-12-02 15:55:47.554,© Movella Technologies B.V. 2005-2025
SampleTimeFine,dq_W,dq_X,dq_Y,dq_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,Status
2414473,1.0000,-0.0003,0.0001,-0.0001,0.0015,0.0002,0.1677,0.0857,0.0119,10.0598,-0.0328,0.0170,-0.0108,-0.0491,1.1826,0.5374,0.9988,-0.0126,0.0024,-0.0481,-1.4519,0.2039,-5.5208,0
2414639,1.0000,-0.0003,0.0001,-0.0001,0.0015,-0.0001,0.1676,0.0867,-0.0063,10.0585,-0.0333,0.0167,-0.0102,-0.0500,1.1787,0.5383,0.9988,-0.0127,0.0025,-0.0481,-1.4718,0.2141,-5.5207,0
2414806,1.0000,-0.0003,0.0001,-0.0001,0.0014,0.0001,0.1677,0.0820,0.0007,10.0645,-0.0334,0.0143,-0.0119,-0.0520,1.1836,0.5403,0.9988,-0.0129,0.0026,-0.0481,-1.4917,0.2219,-5.5226,0
2414973,1.0000,-0.0003,0.0001,-0.0001,0.0015,0.0001,0.1677,0.0913,0.0037,10.0596,-0.0330,0.0167,-0.0107,-0.0530,1.1812,0.5378,0.9988,-0.0131,0.0027,-0.0482,-1.5111,0.2319,-5.5245,0
2415139,1.0000,-0.0003,0.0001,-0.0001,0.0015,-0.0001,0.1676,0.0879,-0.0100,10.0565,-0.0336,0.0148,-0.0103,-0.0500,1.1821,0.5374,0.9987,-0.0132,0.0027,-0.0482,-1.5309,0.2400,-5.5267,0
2415306,1.0000,-0.0003,0.0001,-0.0001,0.0016,0.0000,0.1675,0.0961,-0.0006,10.0518,-0.0330,0.0165,-0.0112,-0.0510,1.1797,0.5374,0.9987,-0.0134,0.0028,-0.0482,-1.5500,0.2497,-5.5279,0
2415473,1.0000,-0.0003,0.0001,-0.0001,0.0013,0.0001,0.1677,0.0785,0.0053,10.0594,-0.0331,0.0155,-0.0106,-0.0496,1.1807,0.5398,0.9987,-0.0136,0.0029,-0.0482,-1.5691,0.2583,-5.5290,0
2415639,1.0000,-0.0003,0.0001,-0.0001,0.0013,0.0001,0.1675,0.0779,0.0021,10.0476,-0.0334,0.0163,-0.0127,-0.0510,1.1792,0.5403,0.9987,-0.0137,0.0030,-0.0482,-1.5883,0.2676,-5.5311,0
2415806,1.0000,-0.0003,0.0001,-0.0001,0.0016,-0.0002,0.1679,0.0959,-0.0152,10.0714,-0.0335,0.0160,-0.0118,-0.0466,1.1816,0.5383,0.9987,-0.0139,0.0031,-0.0482,-1.6074,0.2766,-5.5329,0
2415973,1.0000,-0.0003,0.0001,-0.0001,0.0017,-0.0001,0.1674,0.1010,-0.0102,10.0427,-0.0322,0.0159,-0.0096,-0.0510,1.1826,0.5403,0.9987,-0.0140,0.0032,-0.0482,-1.6252,0.2854,-5.5301,0
2416140,1.0000,-0.0003,0.0001,-0.0001,0.0013,-0.0001,0.1673,0.0781,-0.0066,10.0381,-0.0334,0.0172,-0.0104,-0.0510,1.1816,0.5383,0.9987,-0.0142,0.0033,-0.0482,-1.6441,0.2953,-5.5304,0
2416306,1.0000,-0.0003,0.0001,-0.0001,0.0013,-0.0000,0.1673,0.0761,-0.0057,10.0384,-0.0337,0.0166,-0.0103,-0.0486,1.1782,0.5388,0.9987,-0.0144,0.0034,-0.0482,-1.6631,0.3047,-5.5306,0
2416473,1.0000,-0.0003,0.0001,-0.0001,0.0012,0.0003,0.1679,0.0721,0.0181,10.0764,-0.0337,0.0159,-0.0121,-0.0464,1.1812,0.5330,0.9987,-0.0145,0.0034,-0.0482,-1.6819,0.3132,-5.5310,0
2416640,1.0000,-0.0003,0.0001,-0.0001,0.0014,0.0006,0.1675,0.0817,0.0303,10.0473,-0.0349,0.0157,-0.0112,-0.0505,1.1812,0.5378,0.9987,-0.0147,0.0035,-0.0482,-1.7016,0.3215,-5.5291,0
2416806,1.0000,-0.0003,0.0001,-0.0001,0.0018,0.0001,0.1672,0.1044,0.0056,10.0323,-0.0331,0.0164,-0.0102,-0.0520,1.1802,0.5364,0.9987,-0.0148,0.0036,-0.0482,-1.7194,0.3304,-5.5287,0
2416973,1.0000,-0.0003,0.0001,-0.0001,0.0022,0.0001,0.1675,0.1304,0.0052,10.0497,-0.0332,0.0179,-0.0109,-0.0508,1.1826,0.5354,0.9987,-0.0150,0.0037,-0.0482,-1.7372,0.3407,-5.5298,0
2417140,1.0000,-0.0003,0.0001,-0.0001,0.0020,0.0000,0.1676,0.1164,-0.0017,10.0549,-0.0335,0.0158,-0.0103,-0.0505,1.1816,0.5383,0.9987,-0.0152,0.0038,-0.0482,-1.7551,0.3487,-5.5294,0
2417306,1.0000,-0.0003,0.0002,-0.0001,0.0008,-0.0006,0.1676,0.0435,-0.0377,10.0538,-0.0331,0.0185,-0.0103,-0.0500,1.1812,0.5388,0.9987,-0.0153,0.0039,-0.0482,-1.7724,0.3593,-5.5289,0
2417473,1.0000,-0.0003,0.0001,-0.0001,0.0004,-0.0004,0.1675,0.0251,-0.0294,10.0477,-0.0325,0.0146,-0.0108,-0.0486,1.1807,0.5383,0.9987,-0.0154,0.0039,-0.0482,-1.7891,0.3660,-5.5283,0
2417640,1.0000,-0.0003,0.0001,-0.0001,0.0007,-0.0003,0.1676,0.0406,-0.0231,10.0560,-0.0334,0.0144,-0.0124,-0.0496,1.1812,0.5369,0.9987,-0.0156,0.0040,-0.0482,-1.8064,0.3726,-5.5283,0
2417806,1.0000,-0.0003,0.0001,-0.0001,0.0015,0.0000,0.1676,0.0891,-0.0002,10.0531,-0.0342,0.0150,-0.0129,-0.0515,1.1792,0.5374,0.9987,-0.0157,0.0041,-0.0482,-1.8243,0.3796,-5.5294,0
2417973,1.0000,-0.0003,0.0001,-0.0001,0.0021,0.0005,0.1679,0.1249,0.0287,10.0713,-0.0335,0.0159,-0.0116,-0.0520,1.1816,0.5378,0.9987,-0.0159,0.0042,-0.0482,-1.8414,0.3874,-5.5301,0
2418140,1.0000,-0.0003,0.0001,-0.0001,0.0024,0.0007,0.1675,0.1427,0.0412,10.0471,-0.0328,0.0155,-0.0105,-0.0479,1.1812,0.5334,0.9987,-0.0160,0.0042,-0.0482,-1.8575,0.3948,-5.5301,0
2418306,1.0000,-0.0003,0.0001,-0.0001,0.0016,0.0008,0.1676,0.0974,0.0467,10.0558,-0.0311,0.0180,-0.0101,-0.0503,1.1807,0.5344,0.9987,-0.0161,0.0043,-0.0482,-1.8718,0.4043,-5.5272,0
2418473,1.0000,-0.0003,0.0001,-0.0001,0.0011,0.0006,0.1676,0.0616,0.0362,10.0557,-0.0321,0.0164,-0.0117,-0.0525,1.1802,0.5442,0.9987,-0.0163,0.0044,-0.0481,-1.8867,0.4121,-5.5271,0
2418640,1.0000,-0.0003,0.0001,-0.0001,0.0011,0.0005,0.1676,0.0656,0.0245,10.0538,-0.0342,0.0141,-0.0124,-0.0515,1.1802,0.5403,0.9987,-0.0164,0.0044,-0.0482,-1.9034,0.4178,-5.5287,0
2418806,1.0000,-0.0003,0.0001,-0.0001,0.0015,-0.0001,0.1676,0.0892,-0.0074,10.0549,-0.0338,0.0151,-0.0115,-0.0525,1.1772,0.5447,0.9987,-0.0166,0.0045,-0.0482,-1.9196,0.4242,-5.5289,0
2418973,1.0000,-0.0003,0.0001,-0.0001,0.0014,-0.0003,0.1676,0.0849,-0.0204,10.0581,-0.0322,0.0148,-0.0116,-0.0530,1.1782,0.5349,0.9987,-0.0167,0.0046,-0.0482,-1.9340,0.4303,-5.5298,0
2419140,1.0000,-0.0003,0.0001,-0.0001,0.0013,-0.0006,0.1673,0.0750,-0.0394,10.0361,-0.0321,0.0153,-0.0102,-0.0505,1.1772,0.5354,0.9987,-0.0168,0.0046,-0.0482,-1.9481,0.4368,-5.5295,0
2419306,1.0000,-0.0003,0.0001,-0.0001,0.0011,-0.0004,0.1673,0.0637,-0.0240,10.0389,-0.0324,0.0156,-0.0109,-0.0466,1.1787,0.5398,0.9987,-0.0169,0.0047,-0.0482,-1.9623,0.4435,-5.5283,0
