DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Custom Modes - Custom Mode 1,StartTime: 2025-12-02 16:02:11.979,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
6266697,-2.0061,0.9263,-0.5802,0.9940,-0.0206,0.0040,0.1070,-2.2965,0.7025,12.2682,0.0936,0.4166,0.2321
6266864,-1.9482,0.8858,-0.6707,0.9940,-0.0207,0.0040,0.1069,-2.3071,0.7067,12.2666,0.0928,0.4382,0.2235
6267031,-1.9101,0.9126,-0.6027,0.9940,-0.0208,0.0040,0.1069,-2.3168,0.7113,12.2658,0.1046,0.4546,0.2295
6267197,-1.9549,0.8755,-0.6307,0.9940,-0.0209,0.0040,0.1069,-2.3269,0.7152,12.2637,0.1025,0.4401,0.2275
6267364,-1.9712,0.8856,-0.6355,0.9939,0.0002,-0.0030,0.1103,-0.0111,-0.3470,12.6658,0.0079,0.0060,0.2483
6267531,-1.9383,0.8942,-0.5966,0.9939,0.0002,-0.0030,0.1103,-0.0109,-0.3473,12.6654,-0.0007,0.0039,0.2276
6267697,-1.8901,0.9515,-0.5631,0.9939,0.0002,-0.0030,0.1103,-0.0099,-0.3466,12.6659,0.0115,-0.0116,0.2483
6267864,-1.9339,0.9350,-0.6196,0.9939,0.0002,-0.0030,0.1103,-0.0097,-0.3462,12.6656,-0.0010,-0.0045,0.2292
6268031,-1.9598,0.8729,-0.5558,0.9939,0.0002,-0.0030,0.1103,-0.0099,-0.3468,12.6661,-0.0004,0.0024,0.2238
6268197,-1.9324,0.9221,-0.5917,0.9939,0.0002,-0.0030,0.1103,-0.0097,-0.3466,12.6649,-0.0074,-0.0034,0.2347
6268364,-1.9340,0.9224,-0.5771,0.9939,0.0003,-0.0030,0.1103,-0.0095,-0.3464,12.6649,0.0200,-0.0090,0.2448
6268531,-1.9249,0.7638,-0.6045,0.9939,0.0003,-0.0030,0.1103,-0.0091,-0.3488,12.6651,-0.0076,0.0086,0.2160
6268697,-1.9358,0.8065,-0.6441,0.9939,0.0003,-0.0030,0.1103,-0.0089,-0.3505,12.6641,0.0103,0.0104,0.2405
6268864,-1.9328,0.8735,-0.5126,0.9939,0.0003,-0.0031,0.1103,-0.0087,-0.3511,12.6652,0.0076,0.0049,0.2427
6269031,-2.0067,0.9112,-0.5693,0.9939,0.0003,-0.0031,0.1103,-0.0097,-0.3511,12.6649,-0.0149,-0.0038,0.2316
6269197,-2.0073,0.9363,-0.5826,0.9939,0.0002,-0.0031,0.1103,-0.0107,-0.3506,12.6649,0.0183,0.0044,0.2348
6269364,-1.9988,0.8639,-0.6221,0.9939,0.0002,-0.0031,0.1103,-0.0116,-0.3514,12.6644,0.0019,-0.0196,0.2424
6269531,-1.8822,0.8770,-0.5814,0.9939,0.0002,-0.0031,0.1103,-0.0105,-0.3519,12.6646,0.0062,0.0038,0.2346
6269697,-1.8673,0.9686,-0.5564,0.9939,0.0003,-0.0031,0.1103,-0.0092,-0.3510,12.6641,-0.0055,0.0071,0.2133
6269864,-1.9548,0.8523,-0.6059,0.9939,0.0003,-0.0031,0.1103,-0.0094,-0.3519,12.6628,-0.0025,0.0044,0.2456
6270031,-1.9468,0.9714,-0.5801,0.9939,0.0003,-0.0031,0.1103,-0.0094,-0.3509,12.6637,-0.0086,0.0128,0.2433
6270197,-1.8980,0.9918,-0.6064,0.9939,0.0003,-0.0030,0.1103,-0.0086,-0.3495,12.6642,0.0052,0.0081,0.2389
