DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities (with mag),StartTime: 2025-12-02 14:37:28.533,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2657104,0.0313,0.0217,10.0331,-1.8960,0.9727,-0.5617,0.5894,0.8899,0.5515
2657271,0.0177,0.0185,10.0513,-1.8971,0.8517,-0.6161,0.5928,0.8938,0.5510
2657438,0.0269,0.0040,10.0475,-1.8771,0.8075,-0.6044,0.5918,0.8938,0.5486
2657604,0.0312,0.0188,10.0482,-1.9752,0.9396,-0.5853,0.5898,0.8894,0.5535
2657771,0.0254,0.0204,10.0456,-1.9171,0.9594,-0.5600,0.5879,0.8918,0.5520
2657938,0.0287,0.0100,10.0571,-1.9339,0.9168,-0.5680,0.5923,0.8909,0.5544
2658104,0.0285,0.0277,10.0527,-1.9053,0.9434,-0.6529,0.5869,0.8938,0.5476
2658271,0.0294,0.0251,10.0442,-1.8901,0.8975,-0.6271,0.5928,0.8904,0.5530
2658438,0.0229,0.0252,10.0684,-1.9207,0.9331,-0.5898,0.5854,0.8943,0.5476
2658604,0.0382,0.0244,10.0502,-1.9462,0.8268,-0.6302,0.5908,0.8899,0.5544
2658771,0.0264,0.0344,10.0641,-1.9269,0.8750,-0.5661,0.5908,0.8904,0.5540
2658938,0.0215,0.0302,10.0550,-1.9181,0.9152,-0.6501,0.5908,0.8879,0.5530
2659104,0.0320,0.0136,10.0602,-1.9994,0.8377,-0.5652,0.5884,0.8909,0.5515
2659271,0.0207,0.0193,10.0590,-1.9377,0.8560,-0.6839,0.5889,0.8914,0.5525
2659438,0.0268,0.0316,10.0474,-1.9347,0.9584,-0.6354,0.5884,0.8904,0.5515
2659604,0.0244,0.0258,10.0767,-1.9498,0.8761,-0.6283,0.5874,0.8904,0.5481
2659771,0.0257,0.0146,10.0394,-1.9774,0.9420,-0.5997,0.5903,0.8909,0.5540
2659938,0.0234,0.0181,10.0542,-1.8912,0.8973,-0.6348,0.5884,0.8914,0.5496
2660104,0.0409,0.0240,10.0830,-1.9277,0.8791,-0.6590,0.5898,0.8904,0.5500
2660271,0.0211,0.0331,10.0556,-1.8885,0.8688,-0.6355,0.5923,0.8914,0.5466
2660438,0.0170,0.0256,10.0462,-1.9624,0.9437,-0.5358,0.5928,0.8889,0.5530
2660604,0.0143,0.0194,10.0513,-1.9528,0.8287,-0.6463,0.5898,0.8909,0.5515
2660771,0.0218,0.0170,10.0594,-1.9185,0.9517,-0.6318,0.5879,0.8889,0.5510
2660938,0.0242,0.0097,10.0581,-1.9524,0.8538,-0.5950,0.5928,0.8909,0.5491
2661104,0.0212,0.0196,10.0418,-1.9439,0.8377,-0.6139,0.5869,0.8889,0.5466
2661271,0.0161,0.0292,10.0787,-1.9382,0.8530,-0.6114,0.5889,0.8904,0.5491
2661438,0.0377,0.0227,10.0534,-1.8448,0.9753,-0.6102,0.5908,0.8904,0.5530
2661604,0.0166,0.0193,10.0288,-1.9042,0.9665,-0.6179,0.5903,0.8904,0.5476
