DeviceTag: Movella DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-10 09:21:00.404,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4256253,0.9746,-0.0065,0.0043,-0.2239,-0.0017,-0.0076,0.0234,0
4256420,0.9746,-0.0065,0.0043,-0.2239,0.0052,-0.0002,0.0122,0
4256586,0.9746,-0.0065,0.0043,-0.2240,-0.0147,-0.0050,-0.0131,0
4256753,0.9746,-0.0065,0.0043,-0.2240,-0.0076,0.0050,-0.0051,0
4256920,0.9746,-0.0065,0.0043,-0.2240,0.0037,-0.0058,0.0142,0
4257086,0.9746,-0.0065,0.0043,-0.2240,0.0146,-0.0064,-0.0097,0
4257253,0.9746,-0.0065,0.0043,-0.2240,0.0052,-0.0007,0.0037,0
4257420,0.9746,-0.0065,0.0043,-0.2240,0.0055,-0.0038,0.0097,0
4257586,0.9746,-0.0065,0.0043,-0.2240,0.0068,-0.0010,0.0141,0
4257753,0.9746,-0.0065,0.0043,-0.2240,-0.0060,-0.0003,0.0142,0
4257920,0.9746,-0.0065,0.0043,-0.2240,-0.0003,0.0059,0.0008,0
4258087,0.9746,-0.0065,0.0043,-0.2240,-0.0075,-0.0080,0.0141,0
4258253,0.9746,-0.0065,0.0043,-0.2240,-0.0017,-0.0021,-0.0040,0
4258420,0.9746,-0.0065,0.0043,-0.2240,-0.0101,-0.0074,0.0164,0
4258587,0.9746,-0.0065,0.0043,-0.2239,-0.0091,-0.0040,-0.0018,0
4258753,0.9746,-0.0065,0.0043,-0.2239,0.0012,-0.0144,-0.0141,0
4258920,0.9746,-0.0065,0.0043,-0.2239,-0.0078,-0.0082,-0.0061,0
4259087,0.9746,-0.0065,0.0043,-0.2240,-0.0063,0.0067,-0.0017,0
4259253,0.9746,-0.0065,0.0043,-0.2239,-0.0122,-0.0021,0.0131,0
4259420,0.9746,-0.0065,0.0043,-0.2240,-0.0194,0.0004,0.0137,0
4259587,0.9746,-0.0065,0.0043,-0.2240,0.0106,-0.0091,-0.0202,0
4259753,0.9746,-0.0065,0.0043,-0.2240,-0.0008,-0.0006,0.0024,0
4259920,0.9746,-0.0065,0.0043,-0.2240,0.0081,-0.0022,0.0139,0
4260087,0.9746,-0.0065,0.0043,-0.2240,-0.0038,-0.0111,-0.0076,0
4260253,0.9746,-0.0065,0.0043,-0.2239,0.0100,0.0151,0.0245,0
4260420,0.9746,-0.0065,0.0043,-0.2240,0.0047,0.0010,0.0208,0
4260587,0.9746,-0.0065,0.0043,-0.2239,-0.0016,0.0026,-0.0080,0
4260753,0.9746,-0.0065,0.0043,-0.2239,-0.0045,0.0022,0.0017,0
4260920,0.9746,-0.0065,0.0043,-0.2239,-0.0032,-0.0010,0.0007,0
4261087,0.9746,-0.0065,0.0043,-0.2239,-0.0105,0.0034,0.0238,0
4261253,0.9746,-0.0065,0.0043,-0.2239,-0.0007,0.0026,0.0211,0
4261420,0.9746,-0.0065,0.0043,-0.2239,-0.0070,-0.0159,0.0055,0
4261587,0.9746,-0.0065,0.0043,-0.2239,-0.0090,-0.0093,0.0070,0
4261753,0.9746,-0.0065,0.0043,-0.2239,0.0163,0.0010,0.0059,0
4261920,0.9746,-0.0065,0.0043,-0.2239,-0.0048,-0.0056,-0.0018,0
4262087,0.9746,-0.0065,0.0043,-0.2239,0.0038,-0.0049,0.0001,0
4262253,0.9746,-0.0065,0.0043,-0.2239,-0.0055,-0.0044,0.0091,0
4262420,0.9746,-0.0065,0.0043,-0.2239,0.0041,0.0110,-0.0029,0
4262587,0.9746,-0.0065,0.0043,-0.2239,0.0028,0.0011,0.0113,0
4262753,0.9746,-0.0065,0.0043,-0.2239,0.0010,0.0074,0.0006,0
4262920,0.9746,-0.0065,0.0043,-0.2239,0.0035,-0.0116,0.0176,0
4263087,0.9746,-0.0065,0.0043,-0.2239,-0.0064,-0.0062,0.0170,0
4263253,0.9746,-0.0065,0.0043,-0.2239,-0.0021,-0.0092,0.0085,0
4263420,0.9746,-0.0065,0.0043,-0.2239,-0.0049,-0.0008,0.0038,0
4263587,0.9746,-0.0065,0.0043,-0.2239,-0.0010,-0.0069,0.0134,0
4263753,0.9746,-0.0065,0.0043,-0.2239,0.0132,0.0014,0.0197,0
4263920,0.9746,-0.0065,0.0043,-0.2239,0.0005,-0.0076,0.0095,0
4264087,0.9746,-0.0065,0.0043,-0.2239,-0.0071,-0.0081,0.0118,0
4264253,0.9746,-0.0064,0.0043,-0.2238,0.0044,-0.0008,0.0009,0
4264420,0.9746,-0.0064,0.0043,-0.2238,-0.0092,-0.0031,-0.0059,0
4264587,0.9746,-0.0064,0.0043,-0.2238,-0.0006,0.0112,0.0038,0
4264753,0.9746,-0.0064,0.0043,-0.2238,-0.0030,0.0082,0.0309,0
4264920,0.9746,-0.0064,0.0043,-0.2238,0.0110,-0.0040,0.0199,0
4265087,0.9746,-0.0064,0.0043,-0.2238,-0.0007,0.0067,0.0076,0
4265253,0.9746,-0.0064,0.0043,-0.2238,-0.0012,-0.0163,0.0021,0
4265420,0.9746,-0.0064,0.0043,-0.2238,0.0002,-0.0059,0.0116,0
4265587,0.9746,-0.0064,0.0043,-0.2238,0.0053,0.0049,0.0047,0
4265753,0.9746,-0.0064,0.0043,-0.2238,0.0008,0.0025,0.0312,0
4265920,0.9746,-0.0064,0.0043,-0.2238,0.0090,-0.0031,0.0100,0
4266087,0.9746,-0.0064,0.0042,-0.2238,-0.0040,0.0017,0.0128,0
4266253,0.9746,-0.0064,0.0042,-0.2238,-0.0022,-0.0029,-0.0013,0
4266420,0.9746,-0.0064,0.0042,-0.2238,0.0098,0.0003,0.0088,0
4266587,0.9746,-0.0064,0.0042,-0.2239,-0.0001,-0.0000,0.0172,0
