DeviceTag: Xsens DOT,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-10 09:13:05.736,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
437403,0.9135,-0.0104,0.0039,0.4067,0.0089,0.0103,-0.0861,0
437569,0.9135,-0.0104,0.0039,0.4067,0.0066,-0.0049,-0.0882,0
437736,0.9135,-0.0104,0.0039,0.4067,-0.0037,-0.0033,-0.0935,0
437903,0.9135,-0.0104,0.0039,0.4067,-0.0049,0.0024,-0.0912,0
438069,0.9135,-0.0104,0.0039,0.4067,-0.0045,0.0011,-0.0750,0
438236,0.9135,-0.0104,0.0039,0.4067,0.0021,0.0233,-0.0947,0
438403,0.9135,-0.0104,0.0039,0.4066,-0.0022,-0.0049,-0.0894,0
438569,0.9135,-0.0104,0.0039,0.4066,0.0002,-0.0014,-0.1183,0
438736,0.9135,-0.0104,0.0039,0.4066,0.0053,-0.0082,-0.0914,0
438903,0.9135,-0.0104,0.0039,0.4066,-0.0014,-0.0064,-0.0914,0
439069,0.9135,-0.0104,0.0039,0.4066,0.0042,-0.0018,-0.0786,0
439236,0.9135,-0.0104,0.0039,0.4066,0.0064,-0.0138,-0.0874,0
439403,0.9135,-0.0104,0.0039,0.4066,-0.0086,-0.0086,-0.0934,0
439569,0.9135,-0.0104,0.0039,0.4066,-0.0119,0.0034,-0.0864,0
439736,0.9135,-0.0104,0.0039,0.4066,-0.0108,-0.0047,-0.1149,0
439903,0.9135,-0.0104,0.0039,0.4066,-0.0025,-0.0030,-0.0842,0
440069,0.9135,-0.0104,0.0039,0.4066,0.0131,0.0012,-0.0924,0
440236,0.9135,-0.0104,0.0039,0.4066,0.0051,0.0066,-0.0924,0
440403,0.9135,-0.0104,0.0039,0.4066,0.0077,-0.0048,-0.0810,0
440569,0.9135,-0.0104,0.0039,0.4066,-0.0091,-0.0161,-0.0635,0
440736,0.9135,-0.0104,0.0039,0.4066,-0.0148,-0.0173,-0.0887,0
440903,0.9135,-0.0104,0.0039,0.4066,-0.0064,-0.0062,-0.1040,0
441069,0.9135,-0.0104,0.0039,0.4066,-0.0021,-0.0040,-0.0830,0
441236,0.9135,-0.0104,0.0039,0.4066,-0.0117,-0.0001,-0.1103,0
441403,0.9135,-0.0104,0.0039,0.4066,0.0075,0.0057,-0.0926,0
441569,0.9135,-0.0104,0.0039,0.4066,0.0086,-0.0141,-0.0687,0
441736,0.9135,-0.0104,0.0039,0.4066,-0.0110,-0.0016,-0.0815,0
441903,0.9135,-0.0104,0.0039,0.4066,0.0021,-0.0048,-0.0858,0
442069,0.9135,-0.0104,0.0039,0.4066,-0.0011,0.0022,-0.0992,0
442236,0.9135,-0.0104,0.0039,0.4066,0.0028,-0.0071,-0.0979,0
442403,0.9135,-0.0104,0.0039,0.4066,-0.0035,0.0076,-0.0871,0
442569,0.9135,-0.0104,0.0039,0.4066,-0.0023,-0.0005,-0.0788,0
442736,0.9135,-0.0104,0.0039,0.4066,-0.0006,0.0076,-0.0856,0
442903,0.9135,-0.0104,0.0039,0.4066,-0.0026,-0.0073,-0.0853,0
443069,0.9135,-0.0104,0.0039,0.4066,0.0129,0.0015,-0.0761,0
443236,0.9135,-0.0104,0.0040,0.4066,0.0083,0.0055,-0.0816,0
443403,0.9135,-0.0104,0.0039,0.4066,-0.0073,-0.0053,-0.1084,0
443569,0.9135,-0.0104,0.0039,0.4066,-0.0077,0.0082,-0.1004,0
443736,0.9135,-0.0104,0.0039,0.4066,-0.0114,0.0016,-0.0985,0
