DeviceTag: ,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-13 22:43:10.341,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4141640,0.8496,0.0112,0.0006,0.5274,0.5686,-0.3874,1.9100,0
4141807,0.8496,0.0111,0.0006,0.5274,0.5342,-0.3980,1.8896,0
4141974,0.8495,0.0111,0.0005,0.5274,0.5431,-0.3955,1.9075,0
4142140,0.8495,0.0110,0.0005,0.5274,0.5586,-0.3796,1.8760,0
4142307,0.8495,0.0109,0.0005,0.5275,0.5520,-0.4047,1.8749,0
4142474,0.8495,0.0109,0.0005,0.5275,0.5574,-0.3785,1.9008,0
4142640,0.8495,0.0108,0.0004,0.5275,0.5288,-0.3608,1.8868,0
4142807,0.8495,0.0107,0.0004,0.5275,0.5487,-0.3528,1.8942,0
4142974,0.8494,0.0107,0.0004,0.5276,0.5537,-0.3624,1.8840,0
4143140,0.8494,0.0106,0.0003,0.5276,0.5524,-0.3774,1.9226,0
4143307,0.8494,0.0105,0.0003,0.5276,0.5758,-0.3723,1.9174,0
4143474,0.8494,0.0105,0.0002,0.5276,0.5739,-0.3816,1.8750,0
4143640,0.8494,0.0104,0.0002,0.5277,0.5461,-0.3802,1.9025,0
4143807,0.8494,0.0103,0.0001,0.5277,0.5143,-0.3920,1.8640,0
4143974,0.8494,0.0102,0.0001,0.5277,0.5042,-0.3744,1.8785,0
4144140,0.8493,0.0101,0.0001,0.5277,0.5270,-0.3814,1.8080,0
4144307,0.8493,0.0100,0.0001,0.5278,0.5531,-0.3465,1.9675,0
4144474,0.8493,0.0099,0.0000,0.5278,0.5540,-0.3468,1.9034,0
4144640,0.8493,0.0099,-0.0000,0.5279,0.5528,-0.3826,1.9039,0
4144807,0.8493,0.0098,-0.0001,0.5279,0.5325,-0.3947,1.9055,0
4144974,0.8493,0.0097,-0.0001,0.5279,0.5266,-0.3730,1.8577,0
4145140,0.8492,0.0096,-0.0002,0.5279,0.5103,-0.3551,1.9495,0
4145307,0.8492,0.0095,-0.0002,0.5279,0.5257,-0.3365,1.9218,0
4145474,0.8492,0.0094,-0.0003,0.5279,0.5132,-0.3647,1.8686,0
4145640,0.8492,0.0093,-0.0003,0.5279,0.5157,-0.3676,1.8703,0
4145807,0.8492,0.0092,-0.0004,0.5280,0.5296,-0.3667,1.8394,0
4145974,0.8492,0.0091,-0.0004,0.5280,0.5530,-0.3543,1.9017,0
4146140,0.8492,0.0090,-0.0005,0.5280,0.5242,-0.3607,1.9314,0
4146307,0.8492,0.0089,-0.0005,0.5280,0.5201,-0.3608,1.8824,0
4146474,0.8492,0.0088,-0.0006,0.5280,0.5164,-0.3620,1.8697,0
4146640,0.8492,0.0087,-0.0006,0.5280,0.5140,-0.3470,1.9109,0
4146807,0.8492,0.0086,-0.0006,0.5280,0.4871,-0.3381,1.8644,0
4146974,0.8492,0.0085,-0.0007,0.5280,0.4878,-0.3469,1.9144,0
4147140,0.8492,0.0084,-0.0007,0.5280,0.5069,-0.3547,1.8974,0
4147307,0.8492,0.0083,-0.0008,0.5280,0.5005,-0.3482,1.9110,0
4147474,0.8492,0.0082,-0.0009,0.5279,0.4829,-0.3385,1.9194,0
4147640,0.8492,0.0081,-0.0009,0.5280,0.5101,-0.3485,1.8929,0
4147807,0.8492,0.0080,-0.0010,0.5279,0.4997,-0.3423,1.8643,0
4147974,0.8493,0.0078,-0.0010,0.5279,0.5019,-0.3280,1.8930,0
4148140,0.8493,0.0077,-0.0011,0.5279,0.5013,-0.3285,1.8982,0
4148307,0.8493,0.0076,-0.0012,0.5279,0.4828,-0.3314,1.9046,0
4148474,0.8493,0.0075,-0.0012,0.5279,0.4944,-0.3459,1.8871,0
4148640,0.8493,0.0074,-0.0012,0.5279,0.4970,-0.3392,1.8686,0
4148807,0.8493,0.0072,-0.0013,0.5278,0.4885,-0.3329,2.0234,0
4148974,0.8493,0.0071,-0.0014,0.5278,0.4526,-0.3300,1.8538,0
4149140,0.8493,0.0070,-0.0014,0.5278,0.4664,-0.3376,1.8839,0
4149307,0.8494,0.0069,-0.0015,0.5278,0.4822,-0.3309,1.8776,0
4149474,0.8494,0.0068,-0.0015,0.5277,0.4808,-0.3156,1.8742,0
4149640,0.8494,0.0067,-0.0016,0.5277,0.4728,-0.3169,1.9255,0
4149807,0.8494,0.0065,-0.0017,0.5277,0.4446,-0.3341,1.8988,0
4149974,0.8494,0.0064,-0.0017,0.5277,0.4505,-0.3338,1.8964,0
4150140,0.8494,0.0063,-0.0018,0.5276,0.4562,-0.3199,1.8751,0
4150307,0.8495,0.0062,-0.0018,0.5276,0.4494,-0.3144,1.9187,0
4150474,0.8495,0.0060,-0.0019,0.5276,0.4613,-0.3037,1.8926,0
4150640,0.8495,0.0059,-0.0020,0.5275,0.4694,-0.3069,1.9012,0
4150807,0.8495,0.0058,-0.0020,0.5275,0.4583,-0.3130,1.8865,0
4150974,0.8495,0.0057,-0.0021,0.5275,0.4471,-0.3137,1.8724,0
4151140,0.8496,0.0055,-0.0022,0.5274,0.4471,-0.3061,1.8737,0
4151307,0.8496,0.0054,-0.0022,0.5274,0.4407,-0.3064,1.9102,0
4151474,0.8496,0.0053,-0.0023,0.5274,0.4400,-0.3130,1.8846,0
4151641,0.8496,0.0051,-0.0023,0.5274,0.4437,-0.3200,1.8824,0
4151807,0.8497,0.0050,-0.0023,0.5273,0.4460,-0.3124,1.9475,0
4151974,0.8497,0.0049,-0.0024,0.5273,0.4153,-0.3001,1.9290,0
4152141,0.8497,0.0048,-0.0025,0.5273,0.4062,-0.3103,1.8787,0
4152307,0.8497,0.0047,-0.0025,0.5272,0.4079,-0.2997,1.8798,0
4152474,0.8497,0.0045,-0.0026,0.5272,0.4085,-0.3043,1.8894,0
4152641,0.8498,0.0044,-0.0027,0.5271,0.4198,-0.2787,1.9377,0
4152807,0.8498,0.0043,-0.0027,0.5271,0.4196,-0.2824,1.9028,0
