DeviceTag: ,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2025-11-13 22:43:10.554,© Movella Technologies B.V. 2005-2025
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
4251721,0.6066,-0.0029,-0.0091,0.7950,-0.0452,0.1337,0.0028,0
4251888,0.6066,-0.0029,-0.0092,0.7950,-0.0545,0.1343,0.0142,0
4252054,0.6066,-0.0028,-0.0092,0.7950,-0.0386,0.1384,-0.0236,0
4252221,0.6066,-0.0028,-0.0092,0.7949,-0.0435,0.1392,-0.0054,0
4252388,0.6066,-0.0028,-0.0092,0.7949,-0.0414,0.1511,0.0277,0
4252554,0.6066,-0.0028,-0.0092,0.7949,-0.0396,0.1393,0.0206,0
4252721,0.6066,-0.0028,-0.0092,0.7949,-0.0355,0.1393,0.0244,0
4252888,0.6067,-0.0028,-0.0092,0.7949,-0.0419,0.1376,-0.0001,0
4253054,0.6067,-0.0028,-0.0092,0.7949,-0.0489,0.1422,-0.0336,0
4253221,0.6067,-0.0028,-0.0092,0.7949,-0.0408,0.1354,0.0188,0
4253388,0.6067,-0.0027,-0.0092,0.7949,-0.0410,0.1377,0.0237,0
4253554,0.6067,-0.0027,-0.0092,0.7949,-0.0325,0.1403,-0.0474,0
4253721,0.6067,-0.0027,-0.0092,0.7949,-0.0406,0.1415,0.0629,0
4253888,0.6067,-0.0027,-0.0092,0.7949,-0.0513,0.1465,0.0369,0
4254054,0.6067,-0.0026,-0.0092,0.7949,-0.0502,0.1251,-0.0052,0
4254221,0.6067,-0.0026,-0.0093,0.7949,-0.0607,0.1319,-0.0182,0
4254388,0.6067,-0.0026,-0.0093,0.7949,-0.0365,0.1242,-0.0127,0
4254554,0.6067,-0.0026,-0.0093,0.7949,-0.0417,0.1502,0.0335,0
4254721,0.6067,-0.0026,-0.0093,0.7949,-0.0305,0.1501,0.0032,0
4254888,0.6067,-0.0025,-0.0093,0.7949,-0.0324,0.1352,0.0093,0
4255055,0.6068,-0.0025,-0.0093,0.7948,-0.0413,0.1279,0.0011,0
4255221,0.6067,-0.0025,-0.0093,0.7948,-0.0320,0.1211,0.0047,0
4255388,0.6067,-0.0025,-0.0093,0.7948,-0.0436,0.1423,0.0482,0
4255555,0.6068,-0.0025,-0.0093,0.7948,-0.0425,0.1370,0.0107,0
4255721,0.6068,-0.0024,-0.0094,0.7948,-0.0284,0.1440,-0.0145,0
4255888,0.6068,-0.0024,-0.0094,0.7948,-0.0254,0.1274,-0.0019,0
4256055,0.6068,-0.0024,-0.0094,0.7948,-0.0359,0.1370,-0.0108,0
4256221,0.6068,-0.0024,-0.0094,0.7948,-0.0479,0.1409,-0.0095,0
4256388,0.6068,-0.0024,-0.0094,0.7948,-0.0438,0.1410,0.0140,0
4256555,0.6068,-0.0024,-0.0094,0.7948,-0.0379,0.1195,0.0231,0
4256721,0.6068,-0.0024,-0.0094,0.7948,-0.0348,0.1332,-0.0187,0
4256888,0.6068,-0.0023,-0.0094,0.7948,-0.0355,0.1342,0.0703,0
